Sr. No.,Mpp/Mcc Name,Milk Qty,Latitude,Longitude,Milk Dispatched Locations
1,Wadi,554.095,20.834475,76.39677,Mcc Buldhana
2,Wadali,14.328749999999998,20.81218,76.45286,Mcc Buldhana
3,Dhanora Bk,385.1825,20.794985,76.452038,Mcc Buldhana
4,Wadgaon,101.10000000000002,20.79906569,76.45750511,Mcc Buldhana
5,Dyangangapur,72.54375,20.749254,76.438127,Mcc Buldhana
6,Barafgaon,149.9975,20.746192,76.403009,Mcc Buldhana
7,Kalegaon,189.30124999999998,20.646628,76.427249,Mcc Buldhana
8,Kumbhephal,158.6275,20.69504713,76.41080534,Mcc Buldhana
9,Nipana,167.8425,20.71447,76.396507,Mcc Buldhana
10,Muramba,50.71124999999999,20.72423,76.394885,Mcc Buldhana
11,Makodi,115.30124999999998,20.77669,76.132139,Mcc Buldhana
12,Pimpri Gawali,20.707500000000003,20.747271,76.144183,Mcc Buldhana
13,Sarola Pir,52.72625000000001,20.688373,76.127526,Mcc Buldhana
14,Kalegaon 2,189.30124999999998,20.664446,76.10312,Mcc Buldhana
15,Thad,23.305,20.645681,76.095783,Mcc Buldhana
16,Khamkhed Pr Rajur,313.88875,20.586686,76.159785,Mcc Buldhana
17,Talaswada,181.99625,20.951228,76.203106,Mcc Buldhana
18,Kokalwadi,25.623749999999998,20.792536,76.315553,Mcc Buldhana
19,Mendhali,103.74374999999999,20.778569,76.308604,Mcc Buldhana
20,Khaira,50.36000000000001,20.735398,76.320057,Mcc Buldhana
21,Fuli,59.9925,20.717948,76.305048,Mcc Buldhana
22,Bhandari,55.408750000000005,20.693095,76.338712,Mcc Buldhana
23,Umara,108.11375,20.705327,76.364511,Mcc Buldhana
24,Hiwara Khu,42.896249999999995,20.689903,76.370999,Mcc Buldhana
25,Borjawala,268.52875,20.728737,76.370812,Mcc Buldhana
26,Kandari Bk,270.54625,20.710385,76.336588,Mcc Buldhana
27,Tarwadi,102.3775,20.745753,76.344911,Mcc Buldhana
28,Pota,203.54625,20.772304,76.346915,Mcc Buldhana
29,Pimpri Adhav,48.24625,20.796548,76.325818,Mcc Buldhana
30,Dhamangaon Deshmukh,40.712500000000006,20.64912,76.294432,Mcc Buldhana
31,Kothali,197.73499999999996,20.637662,76.263736,Mcc Buldhana
32,Shirwa,354.38874999999996,20.639593,76.227234,Mcc Buldhana
33,Kharbadi,71.4625,20.667833,76.221861,Mcc Buldhana
34,Motala,366.76624999999996,20.676188,76.209557,Mcc Buldhana
35,Punhai,212.10125000000002,20.687835,76.174242,Mcc Buldhana
36,Wadgaon Khandopant,101.10000000000002,20.673827,76.150363,Mcc Buldhana
37,Talni,173.5125,20.773559,76.174208,Mcc Buldhana
38,Khumgaon,133.41375,20.865644,76.394252,Mcc Buldhana
39,Kedar,20.48375,20.860378,76.390316,Mcc Buldhana
40,Matoda,18.85875,20.856786,76.398639,Mcc Buldhana
41,Dahigaon,83.40124999999999,20.858209,76.398689,Mcc Buldhana
42,Narakhed,78.27,20.868258,76.520461,Mcc Buldhana
43,Nimgaon,6.7625,20.868818,76.481793,Mcc Buldhana
44,Narayanpur,53.00875000000001,20.864464,76.47855,Mcc Buldhana
45,Yerali New,11.8225,20.926165,76.467092,Mcc Buldhana
46,Yerali,240.465,20.926106,76.477094,Mcc Buldhana
47,Manegaon,89.58625,20.945147,76.46878,Mcc Buldhana
48,Mandava,46.1175,20.964894,76.359206,Mcc Buldhana
